Load model successfully: cls/cls_iter_30600_acc_0.920989.pth
Repeat   1 	 Acc: 0.920989
Repeat   2 	 Acc: 0.922204
Repeat   3 	 Acc: 0.919773
Repeat   4 	 Acc: 0.922204
Repeat   5 	 Acc: 0.917747
Repeat   6 	 Acc: 0.920178
Repeat   7 	 Acc: 0.920178
Repeat   8 	 Acc: 0.920583
Repeat   9 	 Acc: 0.918152
Repeat  10 	 Acc: 0.919773
Repeat  11 	 Acc: 0.917747
Repeat  12 	 Acc: 0.916937
Repeat  13 	 Acc: 0.918152
Repeat  14 	 Acc: 0.918963
Repeat  15 	 Acc: 0.920583
Repeat  16 	 Acc: 0.915316
Repeat  17 	 Acc: 0.921799
Repeat  18 	 Acc: 0.916532
Repeat  19 	 Acc: 0.918558
Repeat  20 	 Acc: 0.922204
Repeat  21 	 Acc: 0.920583
Repeat  22 	 Acc: 0.917342
Repeat  23 	 Acc: 0.918152
Repeat  24 	 Acc: 0.920178
Repeat  25 	 Acc: 0.918558
Repeat  26 	 Acc: 0.918558
Repeat  27 	 Acc: 0.917342
Repeat  28 	 Acc: 0.916937
Repeat  29 	 Acc: 0.918152
Repeat  30 	 Acc: 0.920178
Repeat  31 	 Acc: 0.918558
Repeat  32 	 Acc: 0.918152
Repeat  33 	 Acc: 0.918963
Repeat  34 	 Acc: 0.917342
Repeat  35 	 Acc: 0.921394
Repeat  36 	 Acc: 0.921394
Repeat  37 	 Acc: 0.919368
Repeat  38 	 Acc: 0.920583
Repeat  39 	 Acc: 0.920178
Repeat  40 	 Acc: 0.917747
Repeat  41 	 Acc: 0.920583
Repeat  42 	 Acc: 0.918152
Repeat  43 	 Acc: 0.920178
Repeat  44 	 Acc: 0.920178
Repeat  45 	 Acc: 0.921394
Repeat  46 	 Acc: 0.918558
Repeat  47 	 Acc: 0.918152
Repeat  48 	 Acc: 0.922609
Repeat  49 	 Acc: 0.920989
Repeat  50 	 Acc: 0.920583
Repeat  51 	 Acc: 0.918963
Repeat  52 	 Acc: 0.917747
Repeat  53 	 Acc: 0.921799
Repeat  54 	 Acc: 0.920178
Repeat  55 	 Acc: 0.918558
Repeat  56 	 Acc: 0.922204
Repeat  57 	 Acc: 0.916532
Repeat  58 	 Acc: 0.919773
Repeat  59 	 Acc: 0.916937
Repeat  60 	 Acc: 0.920583
Repeat  61 	 Acc: 0.920989
Repeat  62 	 Acc: 0.920583
Repeat  63 	 Acc: 0.921799
Repeat  64 	 Acc: 0.920178
Repeat  65 	 Acc: 0.922204
Repeat  66 	 Acc: 0.918963
Repeat  67 	 Acc: 0.918963
Repeat  68 	 Acc: 0.919368
Repeat  69 	 Acc: 0.913695
Repeat  70 	 Acc: 0.919773
Repeat  71 	 Acc: 0.919773
Repeat  72 	 Acc: 0.918152
Repeat  73 	 Acc: 0.919368
Repeat  74 	 Acc: 0.917747
Repeat  75 	 Acc: 0.920989
Repeat  76 	 Acc: 0.919368
Repeat  77 	 Acc: 0.920178
Repeat  78 	 Acc: 0.916937
Repeat  79 	 Acc: 0.919368
Repeat  80 	 Acc: 0.920178
Repeat  81 	 Acc: 0.919368
Repeat  82 	 Acc: 0.916937
Repeat  83 	 Acc: 0.922609
Repeat  84 	 Acc: 0.919368
Repeat  85 	 Acc: 0.916126
Repeat  86 	 Acc: 0.919368
Repeat  87 	 Acc: 0.919368
Repeat  88 	 Acc: 0.920989
Repeat  89 	 Acc: 0.920178
Repeat  90 	 Acc: 0.921394
Repeat  91 	 Acc: 0.919368
Repeat  92 	 Acc: 0.924230
Repeat  93 	 Acc: 0.918558
Repeat  94 	 Acc: 0.921394
Repeat  95 	 Acc: 0.920989
Repeat  96 	 Acc: 0.918152
Repeat  97 	 Acc: 0.921799
Repeat  98 	 Acc: 0.923420
Repeat  99 	 Acc: 0.917342
Repeat 100 	 Acc: 0.920989
Repeat 101 	 Acc: 0.918963
Repeat 102 	 Acc: 0.919368
Repeat 103 	 Acc: 0.921394
Repeat 104 	 Acc: 0.921394
Repeat 105 	 Acc: 0.922609
Repeat 106 	 Acc: 0.920989
Repeat 107 	 Acc: 0.916937
Repeat 108 	 Acc: 0.918558
Repeat 109 	 Acc: 0.923420
Repeat 110 	 Acc: 0.920583
Repeat 111 	 Acc: 0.920583
Repeat 112 	 Acc: 0.919368
Repeat 113 	 Acc: 0.920989
Repeat 114 	 Acc: 0.922204
Repeat 115 	 Acc: 0.923015
Repeat 116 	 Acc: 0.923015
Repeat 117 	 Acc: 0.920178
Repeat 118 	 Acc: 0.918558
Repeat 119 	 Acc: 0.918558
Repeat 120 	 Acc: 0.916532
Repeat 121 	 Acc: 0.922609
Repeat 122 	 Acc: 0.920989
Repeat 123 	 Acc: 0.920178
Repeat 124 	 Acc: 0.921799
Repeat 125 	 Acc: 0.917747
Repeat 126 	 Acc: 0.921799
Repeat 127 	 Acc: 0.917747
Repeat 128 	 Acc: 0.922204
Repeat 129 	 Acc: 0.918558
Repeat 130 	 Acc: 0.920989
Repeat 131 	 Acc: 0.920178
Repeat 132 	 Acc: 0.923825
Repeat 133 	 Acc: 0.920178
Repeat 134 	 Acc: 0.922609
Repeat 135 	 Acc: 0.914911
Repeat 136 	 Acc: 0.920178
Repeat 137 	 Acc: 0.922609
Repeat 138 	 Acc: 0.916532
Repeat 139 	 Acc: 0.917342
Repeat 140 	 Acc: 0.923015
Repeat 141 	 Acc: 0.919773
Repeat 142 	 Acc: 0.921799
Repeat 143 	 Acc: 0.919773
Repeat 144 	 Acc: 0.918963
Repeat 145 	 Acc: 0.919368
Repeat 146 	 Acc: 0.918558
Repeat 147 	 Acc: 0.921394
Repeat 148 	 Acc: 0.922204
Repeat 149 	 Acc: 0.921394
Repeat 150 	 Acc: 0.919368
Repeat 151 	 Acc: 0.920583
Repeat 152 	 Acc: 0.920178
Repeat 153 	 Acc: 0.922609
Repeat 154 	 Acc: 0.915721
Repeat 155 	 Acc: 0.920989
Repeat 156 	 Acc: 0.918558
Repeat 157 	 Acc: 0.921394
Repeat 158 	 Acc: 0.918152
Repeat 159 	 Acc: 0.919773
Repeat 160 	 Acc: 0.918963
Repeat 161 	 Acc: 0.921799
Repeat 162 	 Acc: 0.917342
Repeat 163 	 Acc: 0.919368
Repeat 164 	 Acc: 0.921799
Repeat 165 	 Acc: 0.920583
Repeat 166 	 Acc: 0.919773
Repeat 167 	 Acc: 0.918963
Repeat 168 	 Acc: 0.920583
Repeat 169 	 Acc: 0.917747
Repeat 170 	 Acc: 0.920583
Repeat 171 	 Acc: 0.921394
Repeat 172 	 Acc: 0.919368
Repeat 173 	 Acc: 0.920178
Repeat 174 	 Acc: 0.919368
Repeat 175 	 Acc: 0.920178
Repeat 176 	 Acc: 0.920583
Repeat 177 	 Acc: 0.918963
Repeat 178 	 Acc: 0.918558
Repeat 179 	 Acc: 0.919773
Repeat 180 	 Acc: 0.920583
Repeat 181 	 Acc: 0.922609
